"ID";"Email";"Name";"Question 1 - Please rate your experience in the field of programming.";"Question 2 - Please rate your experience level with the TypeScript language.";"Question 3 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 4 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 5 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 6 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 7 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 8 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 9 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 10 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 11 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 12 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 13 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 14 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 15 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 16 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 17 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 18 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 19 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 20 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 21 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 22 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 23 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 24 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 25 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 26 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 27 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 28 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 29 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 30 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 31 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 32 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 33 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 34 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Duration in s Page 1";"Duration in s Page 2";"Duration in s Page 3";"Duration in s Page 4";"Duration in s Page 5";"Duration in s Page 6";"Duration in s Page 7";"Duration in s Page 8";"Duration in s Page 9";"Duration in s Page 10";"Duration in s Page 11";"Duration in s Page 12";"Duration in s Page 13";"Duration in s Page 14";"Duration in s Page 15";"Duration in s Page 16";"Duration in s Page 17";"Duration in s Page 18";"Duration in s Page 19";"Duration in s Page 20";"Duration in s Page 21";"Duration in s Page 22";"Duration in s Page 23";"Language";"Start time";"End time";"Duration in s";"Duration";"Browser";"Operation System";"completed";"Answer quote";"Date"
"VC99QY";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"14,7798";"6,1984";"2,6196";"4,9125";"1,1905";"3,9962";"11,0018";"1,5584";"1,341";"1,1178";"2,053";"9,8471";"2,6597";"6,5779";"1,9985";"1,345";"1,6502";"1,8493";"1,444";"1,522";"1,7577";"2,1269";"en";"2017-11-22 18:02:28";"2017-11-22 18:04:17";"109";" 00:01:49";"Firefox 57";"Linux x86-64 0";"1";"5,88%";"2017-11-22"
"90GADX";"";"";"Proficient";"Beginner";"3";"3, 5, 9, 10, 11, 13,";"12, 15";"3, 9, 14, 15, 25, 41";"3, 31";"3, 7, 14";"3, 10,";"3, 4";"3";"3, 4, 10, 18";"3, 5, 8, 15";"3";"1, 2";"";"1, 2, 3";"";"1";"";"1";"11, 12, 14";"1";"9, 22";"1, 3";"5, 9, 15, 41, 43";"1";"7,";"1";"5, 9, 17";"1";"17,";"1, 2, 4";"";"0";"205,392";"105,329";"144,154";"67,7287";"53,5062";"72,657";"45,6588";"902,206";"64,8535";"67,38";"16,466";"11,9626";"41,8423";"91,7053";"45,0103";"54,7884";"62,3487";"69,3036";"33,2508";"46,7523";"74,9838";"52,3168";"en";"2017-11-23 18:12:19";"2017-11-23 18:51:42";"2363";" 00:39:23";"Chrome 62";"Linux x86-64 0";"1";"88,24%";"2017-11-23"
"U4QSBX";"";"";"Proficient";"Beginner";"3";"3,11,16,29";"3,10,12,15";"3,7,15,17,25";"3";"";"3,39,40";"";"";"3";"3";"7";"1";"";"1,2";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"2";"";"0";"96,7206";"33,355";"100,456";"268,132";"8,275";"32,031";"11,8608";"8,8912";"6,8027";"38,5459";"7,7583";"2,0242";"13,3356";"11,9138";"14,4425";"6,1453";"7,161";"6,7318";"8,2407";"7,1019";"6,1086";"6,5028";"en";"2017-11-23 18:18:47";"2017-11-23 18:30:57";"730";" 00:12:10";"Chrome 62";"Mac OS 10. 12";"1";"47,06%";"2017-11-23"
"QO71LR";"";"";"Advanced";"Beginner";"";"";"10";"6,13,15,";"37";"12";"5,10";"4";"";"5,11";"4";"3,5";"1,2";"";"1,2,3";"";"1,2";"5";"1";"11";"1,2";"";"1,2,3";"13";"1,2";"16";"1,2";"";"1,2";"";"1,3";"";"0";"55,7004";"33,6724";"115,63";"34,8077";"47,7135";"54,1409";"37,9072";"17,1068";"58,1015";"13,5959";"54,5599";"45,4332";"32,5833";"26,8726";"11,7391";"19,5255";"16,9404";"42,1778";"46,9315";"12,3818";"25,8067";"51,8802";"en";"2017-11-23 18:28:56";"2017-11-23 18:49:17";"1221";" 00:20:21";"Chrome 62";"Windows 10";"1";"73,53%";"2017-11-23"
"7CRMG5";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"15";"7";"";"3";"17";"11, 16, 24";"";"3";"12";"";"";"";"1, 3";"";"1";"";"";"16";"1";"";"3";"8, 23";"";"";"";"";"1";"";"2";"";"0";"48,4213";"128,88";"140,377";"122,594";"122,508";"99,5339";"160,851";"53,8903";"145,229";"71,595";"87,312";"20,7672";"55,917";"79,4482";"77,8412";"50,8208";"42,372";"96,4093";"94,8153";"58,9462";"36,1893";"63,4883";"en";"2017-11-23 19:28:47";"2017-11-23 20:00:20";"1893";" 00:31:33";"Firefox 56";"Ubuntu ";"1";"50,00%";"2017-11-23"
"MB2VRJ";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"3, 4, 9, 11, 12, 15";"3, 7, 13, 15, 31, 33, 40, 42";"3, 19, 27, 28";"3, 5, 12";"3, 17, 32";"3, 13, 15, 23";"3, 8, 23, 28";"3, 4, 10, 13, 18";"3, 5, 8";"3, 7, 12";"1, 2";"16";"1, 3";"";"1, 2";"9, 19";"1";"12";"1";"8, 15";"1, 2";"21, 34";"1";"15";"1";"11";"1";"19";"1, 2";"";"0";"148,686";"298,9";"210,265";"120,295";"60,1703";"60,0303";"45,0777";"104,308";"43,1031";"54,239";"22,6446";"31,0584";"42,9242";"42,3512";"28,4131";"52,4413";"42,602";"52,9867";"45,0489";"13,7199";"35,4845";"17,1745";"en";"2017-11-23 19:47:28";"2017-11-23 20:14:43";"1635";" 00:27:15";"Firefox 57";"Linux x86-64 0";"1";"88,24%";"2017-11-23"
" 025G6M";"";"";"Advanced";"I have never written or read TypeScript before";"3,6";"3,5,9,10,11,29";"3,9,11,15";"3,7,13,15,25,28";"3,10,37";"3,5";"3,14,19";"3,4,7,21,23";"";"";"";"";"1";"16";"1,2,3";"";"1";"19";"1";"";"1,2";"8";"1,2,3";"5,8,9,15,21,41,43";"1";"14";"1,2";"";"1";"19";"1,3";"";"0";"307,694";"201,984";"269,416";"156,301";"105,493";"146,077";"150,898";"0";"1,2712";"1,0498";" 0,9586";"18,545";"71,0376";"36,3817";"70,1157";"16,857";"161,66";"227,103";"29,7538";"35,5755";"144,978";"94,7815";"en";"2017-11-23 19:52:46";"2017-11-23 21:56:39";"7433";" 02:03:53";"Firefox 57";"Linux x86-64 0";"1";"76,47%";"2017-11-23"
"5S9X6U";"";"";"Advanced";"Beginner";"3,6";"3, 5, 11, 13, 29";"3, 9, 12";"3, 7, 13, 15, 25, 31, 41";"3, 19, 27, 37";"3, 5, 10, 12";"3, 14, 19, 26";"3, 4, 23";"3, 19, 28";"3, 4, 10, 18";"3, 5, 12,";"3, 5, 7";"1,2";"16";"1,2,3";"";"1,2";"20";"1";"16";"1";"8, 19";"1, 2, 3";"21";"1";"";"1,2";"11";"1, 2";"15";"1,2,4";"14";"4,2044";"228,446";"211,868";"323,886";"108,67";"98,1325";"157,033";"135,663";"0";"109,212";"128,231";"77,3192";"29,5402";"53,8729";"84,5427";"97,5426";"36,9881";"139,368";"110,858";"97,4469";"23,9323";"45,1124";"60,762";"en";"2017-11-23 19:53:59";"2017-11-23 22:03:37";"7778";" 02:09:38";"Chrome 62";"Windows 10";"1";"94,12%";"2017-11-23"
"3I9OMO";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"1";"";"0";"55,2317";"5,2486";"26,6423";"11,896";"12,6037";"13,7007";"6,1194";"5,4631";"5,8511";"8,2515";"4,2307";"11,2767";"29,0105";"9,6296";"20,2557";"6,8593";"4,483";"8,1476";"2,8964";"4,7211";"3,1325";"11,6114";"en";"2017-11-23 20:30:23";"2017-11-23 20:35:07";"284";" 00:04:44";"Chrome 62";"Ubuntu ";"1";"35,29%";"2017-11-23"
"3AE233";"";"";"Advanced";"I have never written or read TypeScript before";"10";"11";"9,11,13,14";"7,17,34";"27,30";"12";"17,25";"19";"9";"11";"4,13,16";"7";"2";"";"3";"";"2";"";"1";"";"2";"";"2,3";"";"1,2";"";"1";"9";"2";"7";"3,4";"";"0";"50,0306";"23,6399";"23,8463";"12,1991";"7,0413";"12,7977";"19,6807";"12,9976";"5,6525";"42,7603";"5,496";"2,5345";"360,671";"8,1965";"6,2363";"10,1696";"6,179";"7,45";"5,4322";"17,4645";"10,8368";"12,7829";"en";"2017-11-23 20:41:09";"2017-11-23 20:53:43";"754";" 00:12:34";"Chrome 62";"Mac OS 10. 12";"1";"76,47%";"2017-11-23"
