"ID";"Email";"Name";"Question 1 - Please rate your experience in the field of programming.";"Question 2 - Please rate your experience level with the TypeScript language.";"Question 3 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 4 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 5 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 6 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 7 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 8 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 9 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 10 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 11 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 12 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 13 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 14 - Please enter all line numbers separated by comma that you would like to have comments for.";"Question 15 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 16 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 17 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 18 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 19 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 20 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 21 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 22 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 23 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 24 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 25 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 26 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 27 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 28 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 29 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 30 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 31 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 32 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Question 33 - Please enter the (red) numbers of all marked lines that you agree should have an additional comment above.";"Question 34 - Please enter any additional line numbers separated by comma that you would like to have comments for.";"Duration in s Page 1";"Duration in s Page 2";"Duration in s Page 3";"Duration in s Page 4";"Duration in s Page 5";"Duration in s Page 6";"Duration in s Page 7";"Duration in s Page 8";"Duration in s Page 9";"Duration in s Page 10";"Duration in s Page 11";"Duration in s Page 12";"Duration in s Page 13";"Duration in s Page 14";"Duration in s Page 15";"Duration in s Page 16";"Duration in s Page 17";"Duration in s Page 18";"Duration in s Page 19";"Duration in s Page 20";"Duration in s Page 21";"Duration in s Page 22";"Duration in s Page 23";"Language";"Start time";"End time";"Duration in s";"Duration";"Browser";"Operation System";"completed";"Answer quote";"Date"
"VC99QY";"";"";"Proficient";"Beginner";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"14,7798";"6,1984";"2,6196";"4,9125";"1,1905";"3,9962";"11,0018";"1,5584";"1,341";"1,1178";"2,053";"9,8471";"2,6597";"6,5779";"1,9985";"1,345";"1,6502";"1,8493";"1,444";"1,522";"1,7577";"2,1269";"en";"2017-11-22 18:02:28";"2017-11-22 18:04:17";"109";" 00:01:49";"Firefox 57";"Linux x86-64 0";"1";"5,88%";"2017-11-22"
"90GADX";"";"";"Proficient";"Beginner";"3";"3, 5, 9, 10, 11, 13,";"12, 15";"3, 9, 14, 15, 25, 41";"3, 31";"3, 7, 14";"3, 10,";"3, 4";"3";"3, 4, 10, 18";"3, 5, 8, 15";"3";"1, 2";"";"1, 2, 3";"";"1";"";"1";"11, 12, 14";"1";"9, 22";"1, 3";"5, 9, 15, 41, 43";"1";"7,";"1";"5, 9, 17";"1";"17,";"1, 2, 4";"";"0";"205,392";"105,329";"144,154";"67,7287";"53,5062";"72,657";"45,6588";"902,206";"64,8535";"67,38";"16,466";"11,9626";"41,8423";"91,7053";"45,0103";"54,7884";"62,3487";"69,3036";"33,2508";"46,7523";"74,9838";"52,3168";"en";"2017-11-23 18:12:19";"2017-11-23 18:51:42";"2363";" 00:39:23";"Chrome 62";"Linux x86-64 0";"1";"88,24%";"2017-11-23"
"5BM191";"";"";"Proficient";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:13:13";"";"0";" 00:00:00";"Firefox 57";"Mac OS 10. 12";"0";"5,88%";"2017-11-23"
"SUPZN5";"";"";"Proficient";"Advanced";"6";"6,8,24";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"84,1725";"44,7057";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:16:14";"";"0";" 00:00:00";"Chrome 62";"Ubuntu ";"0";"14,71%";"2017-11-23"
"YCL32C";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:16:27";"";"0";" 00:00:00";"Firefox 57";"Linux x86-64 0";"0";"5,88%";"2017-11-23"
"U4QSBX";"";"";"Proficient";"Beginner";"3";"3,11,16,29";"3,10,12,15";"3,7,15,17,25";"3";"";"3,39,40";"";"";"3";"3";"7";"1";"";"1,2";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"2";"";"0";"96,7206";"33,355";"100,456";"268,132";"8,275";"32,031";"11,8608";"8,8912";"6,8027";"38,5459";"7,7583";"2,0242";"13,3356";"11,9138";"14,4425";"6,1453";"7,161";"6,7318";"8,2407";"7,1019";"6,1086";"6,5028";"en";"2017-11-23 18:18:47";"2017-11-23 18:30:57";"730";" 00:12:10";"Chrome 62";"Mac OS 10. 12";"1";"47,06%";"2017-11-23"
"A9PRP8";"";"";"Advanced";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:19:35";"";"0";" 00:00:00";"Firefox 57";"Linux x86-64 0";"0";"5,88%";"2017-11-23"
"4VBTL2";"";"";"Proficient";"I have never written or read TypeScript before";"3,7,9";"3,8,13,20,24";"3,4,8,10,11,12,13,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"60,4511";"41,77";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:25:04";"";"0";" 00:00:00";"Firefox 57";"Windows 10";"0";"14,71%";"2017-11-23"
"QO71LR";"";"";"Advanced";"Beginner";"";"";"10";"6,13,15,";"37";"12";"5,10";"4";"";"5,11";"4";"3,5";"1,2";"";"1,2,3";"";"1,2";"5";"1";"11";"1,2";"";"1,2,3";"13";"1,2";"16";"1,2";"";"1,2";"";"1,3";"";"0";"55,7004";"33,6724";"115,63";"34,8077";"47,7135";"54,1409";"37,9072";"17,1068";"58,1015";"13,5959";"54,5599";"45,4332";"32,5833";"26,8726";"11,7391";"19,5255";"16,9404";"42,1778";"46,9315";"12,3818";"25,8067";"51,8802";"en";"2017-11-23 18:28:56";"2017-11-23 18:49:17";"1221";" 00:20:21";"Chrome 62";"Windows 10";"1";"73,53%";"2017-11-23"
"CC3UCP";"";"";"Beginner";"I have never written or read TypeScript before";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"16,1119";"3,4347";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"en";"2017-11-23 18:29:12";"";"0";" 00:00:00";"Chrome 62";"Windows 10";"0";"5,88%";"2017-11-23"
